IIPA DIPA - Imperial / Double Hazy (NEIPA),Canada,4.06
IIPA DIPA - Imperial / Double IPA,United States of America,168.58
IIPA DIPA - Imperial / Double IPA,United Kingdom,15.63
IIPA DIPA - Imperial / Double IPA,Canada,7.78
IPA,United States of America,125.12
IPA,Canada,31.19
IPA,United Kingdom,11.63
IPA - Belgian / Saison,Belgium,74.89
IPA - Belgian / Saison,United States of America,65.37
IPA - Belgian / Saison,Canada,17.85
IPA - Black / Brown / Cascadian Dark,United States of America,61.5
IPA - Black / Brown / Cascadian Dark,Poland,38.02
IPA - Black / Brown / Cascadian Dark,United Kingdom,37.95
IPA - Brut,United Kingdom,60.1
IPA - Brut,United States of America,31.92
IPA - Brut,Netherlands,21.15
IPA - English,United Kingdom,65.52
IPA - English,United States of America,48.39
IPA - English,Canada,13.66
IPA - Flavored,United States of America,128.89
IPA - Flavored,United Kingdom,18.92
IPA - Flavored,Canada,15.11
IPA - Hazy / New England (NEIPA),United States of America,143.13
IPA - Hazy / New England (NEIPA),Canada,15.92
IPA - Hazy / New England (NEIPA),United Kingdom,15.75
IPA - Milkshake / Smoothie,United States of America,66.62
IPA - Milkshake / Smoothie,United Kingdom,36.99
IPA - Milkshake / Smoothie,Canada,33.41
IPA - Red,United States of America,66.05
IPA - Red,Australia,36.8
IPA - Red,New Zealand,18.46
IPA - Rye,United States of America,122.87
IPA - Rye,United Kingdom,18.51
IPA - Rye,Poland,14.95
IPA - Sour / Wild,United States of America,105.37
IPA - Sour / Wild,Canada,26.6
IPA - Sour / Wild,Poland,22.85
IPA - White,United States of America,61.55
IPA - White,Poland,46.72
IPA - White,Canada,21.41
ISA - Session IPA,United States of America,103.76
ISA - Session IPA,Poland,25.77
ISA - Session IPA,United Kingdom,14.85
Kvass,Latvia,30.42
Kvass,Lithuania,27.73
Kvass,Estonia,17.51
Kölsch / Kölsch-Style,United States of America,123.51
Kölsch / Kölsch-Style,Canada,24.08
Kölsch / Kölsch-Style,Italy,6.97
Lambic - Faro,Belgium,53.28
Lambic - Faro,United States of America,3.72
Lambic - Faro,Canada,3.2
Lambic - Flavored,Belgium,184.25
Lambic - Flavored,Denmark,12.13
Lambic - Flavored,United States of America,8.06
Lambic - Gueuze,Belgium,175.92
Lambic - Gueuze,United States of America,11.95
Lambic - Gueuze,Netherlands,7.76
Lambic - Unblended Jonge / Oude,Belgium,124.7
Lambic - Unblended Jonge / Oude,Denmark,22.3
Lambic - Unblended Jonge / Oude,United States of America,11.09
Low / No Alcohol Beer - Dark,United Kingdom,40.65
Low / No Alcohol Beer - Dark,Denmark,28.17
Low / No Alcohol Beer - Dark,Poland,23.53
Low / No Alcohol Beer - Pale,Poland,96.32
Low / No Alcohol Beer - Pale,United Kingdom,19.91
Low / No Alcohol Beer - Pale,Denmark,13.32
Low / No Alcohol Beer - Wheat,Germany,80.5
Low / No Alcohol Beer - Wheat,Poland,21.38
Low / No Alcohol Beer - Wheat,Denmark,15.34
Malt Liquor,United States of America,102.96
Malt Liquor,Canada,14.62
Malt Liquor,Denmark,9.14
Mead,United States of America,123.27
Mead,Poland,26.46
Mead,Canada,14.47
Mead - Braggot / Hopped,United States of America,82.87
Mead - Braggot / Hopped,Poland,43.51
Mead - Braggot / Hopped,Sweden,16.8
Mead - Melomel / Fruited,United States of America,181.26
Mead - Melomel / Fruited,Sweden,16.37
Mead - Melomel / Fruited,Poland,8.05
Mead - Metheglin / Spiced / Herbs,United States of America,156.08
Mead - Metheglin / Spiced / Herbs,Poland,7.62
Mead - Metheglin / Spiced / Herbs,Sweden,7.34
Mild Ale,United Kingdom,87.24
Mild Ale,United States of America,66.0
Mild Ale,Canada,10.38
Märzen / Oktoberfest Bier,United States of America,100.72
Märzen / Oktoberfest Bier,Germany,27.76
Märzen / Oktoberfest Bier,Canada,20.63
Old Ale,United States of America,111.5
Old Ale,United Kingdom,57.28
Old Ale,Denmark,7.64
Pale Ale,United Kingdom,58.58
Pale Ale,Canada,24.12
Pale Ale,United States of America,17.27
Pale Ale - American (APA),United States of America,114.68
Pale Ale - American (APA),United Kingdom,41.59
Pale Ale - American (APA),Poland,15.02
Pale Ale - Australian / New Zealand,United Kingdom,77.78
Pale Ale - Australian / New Zealand,New Zealand,35.2
Pale Ale - Australian / New Zealand,Australia,21.13
Pale Ale - Belgian / Farmhouse,United States of America,75.69
Pale Ale - Belgian / Farmhouse,United Kingdom,20.63
Pale Ale - Belgian / Farmhouse,Belgium,20.6
Pale Ale - English,United States of America,75.27
Pale Ale - English,Canada,17.0
Pale Ale - English,Netherlands,13.38
Pale Ale - Flavored,United Kingdom,55.99
Pale Ale - Flavored,United States of America,39.25
Pale Ale - Flavored,Poland,28.33
Pale Ale - Hazy / New England,United States of America,171.61
Pale Ale - Hazy / New England,United Kingdom,22.87
Pale Ale - Rye,United States of America,111.67
Pale Ale - Rye,United Kingdom,20.83
Pale Ale - Rye,Canada,10.84
Pale Lager - American,United States of America,99.33
Pale Lager - American,United Kingdom,19.22
Pale Lager - American,Canada,19.05
Pale Lager - Hoppy / India (IPL),United States of America,74.04
Pale Lager - Hoppy / India (IPL),Poland,29.48
Pale Lager - Hoppy / India (IPL),Canada,22.53
Pale Lager - International / Premium,United States of America,51.67
Pale Lager - International / Premium,United Kingdom,24.04
Pale Lager - International / Premium,Denmark,23.79
Pale Lager - Strong,Poland,57.8
Pale Lager - Strong,United States of America,20.08
Pale Lager - Strong,Denmark,11.51
Perry,United Kingdom,69.71
Perry,France,40.97
Perry,United States of America,27.07
Perry - Ice / Fortified,Canada,18.63
Perry - Ice / Fortified,Austria,10.79
Perry - Ice / Fortified,United Kingdom,7.42
Pilsener - Bohemian / Czech,Czechia,54.15
Pilsener - Bohemian / Czech,Canada,50.6
Pilsener - Bohemian / Czech,United States of America,46.95
Pilsener - Imperial,United States of America,93.35
Pilsener - Imperial,Canada,14.06
Pilsener - Imperial,Denmark,10.24
Pilsener / Pils / Pilsner,United States of America,88.08
Pilsener / Pils / Pilsner,Poland,29.19
Pilsener / Pils / Pilsner,Canada,18.31
Porter,United States of America,87.93
Porter,United Kingdom,57.12
Porter,Denmark,11.46
Porter - Baltic,Poland,118.45
Porter - Baltic,United States of America,39.29
Porter - Baltic,Estonia,23.56
Porter - Flavored,United States of America,105.85
Porter - Flavored,United Kingdom,37.56
Porter - Flavored,Denmark,11.35
Porter - Imperial,United States of America,101.68
Porter - Imperial,Denmark,27.52
Porter - Imperial,Netherlands,15.87
Porter - Imperial Flavored,United States of America,155.35
Porter - Imperial Flavored,Sweden,20.5
Porter - Imperial Flavored,Netherlands,11.78
Porter - Smoked,United States of America,86.35
Porter - Smoked,Poland,42.15
Porter - Smoked,United Kingdom,18.49
Quadrupel / Abt,Belgium,59.6
Quadrupel / Abt,United States of America,50.54
Quadrupel / Abt,Poland,32.13
Radler / Shandy,United States of America,100.72
Radler / Shandy,United Kingdom,22.07
Radler / Shandy,Canada,12.57
Red Ale - Imperial,United States of America,151.77
Red Ale - Imperial,Australia,14.62
Red Ale - Imperial,Netherlands,7.69
Red Ale - Irish,United States of America,107.95
Red Ale - Irish,Ireland,13.66
Red Ale - Irish,Poland,10.2
